date,effective_date,description,debit,credit,balance,category
2026-03-01,2026-03-01,OPENING BALANCE,,,3240.55,BalanceMarker
2026-03-01,2026-03-01,ANZ PAYROLL CREDIT | FROM PAYROLL,,3850.00,7090.55,Wages
2026-03-01,2026-03-01,ANZ MOBILE BANKING PAYMENT 140235 TO DAVID NGUYEN | TO BONUS,250.00,,6840.55,Savings
2026-03-01,2026-03-01,TRANSFER FROM OPTUS | HOME LENDER · REF LN-anz-9000,1680.00,,5160.55,Financial
2026-03-02,2026-03-02,ANZ INTERNET BANKING BPAY OPTUS {847206} | HWY,45.30,,5115.25,Fuel
2026-03-03,2026-03-03,PENDING - EFTPOS TERRY WHITE CHEMIST | DIRECT DEBIT,321.43,,4793.82,Health
2026-03-04,2026-03-04,TRANSFER FROM SHELL | SUBSCRIPTION,42.53,,4751.29,Entertainment
2026-03-04,2026-03-04,VISA DEBIT PURCHASE CARD VISA DEBIT PURCHASE CARD 5076 KMART | CBD,6.75,,4744.54,Dining
2026-03-05,2026-03-05,EFTPOS DAVID JONES AU | OSKO / PAYID,83.53,,4661.01,Transfer
2026-03-05,2026-03-05,PENDING - MTS UBER EATS Inv 9162 CHEN | LOCAL,87.36,,4573.65,Alcohol
2026-03-06,2026-03-06,TRANSFER FROM UBER EATS | DIRECT DEBIT,525.71,,4047.94,Utilities
2026-03-06,2026-03-06,VISA DEBIT PURCHASE CARD VISA CREDIT CARD 4567 THE ICONIC | LOCAL,64.88,,3983.06,Health
2026-03-07,2026-03-07,PENDING - PAYMENT FROM JAMES SMITH inv 9269 MDE | MALL,28.81,,3954.25,Retail
2026-03-08,2026-03-08,ANZ MOBILE BANKING PAYMENT 409470 TO RACHEL TAYLOR | SUBSCRIPTION,122.66,,3831.59,Telecom
2026-03-08,2026-03-08,ANZ INTERNET BANKING BPAY HOST PLUS {879390} | WEB,116.94,,3714.65,OnlineShopping
2026-03-10,2026-03-10,VISA DEBIT PURCHASE CARD VISA DEBIT PURCHASE CARD 5076 WESTFIELD | DIRECT DEBIT,362.99,,3351.66,Utilities
2026-03-10,2026-03-10,ANZ INTERNET BANKING BPAY DC STREAKY BAY {677500} | MALL,10.48,,3341.18,Dining
2026-03-10,2026-03-10,EFTPOS TERRY WHITE CHEMIST AU | SUBURB,61.19,,3279.99,Groceries
2026-03-11,2026-03-11,ANZ MOBILE BANKING PAYMENT 373224 TO SARAH JOHNSON | METRO,36.04,,3243.95,Transport
2026-03-12,2026-03-12,VISA DEBIT PURCHASE CARD VISA CREDIT CARD 4567 JB HI FI | WEB,188.47,,3055.48,OnlineShopping
2026-03-12,2026-03-12,PENDING - EFTPOS UBER EATS | METRO,36.47,,3019.01,Transport
2026-03-13,2026-03-13,TRANSFER FROM KMART | DIRECT DEBIT,224.05,,2794.96,Insurance
2026-03-13,2026-03-13,ANZ INTERNET BANKING BPAY L & H GROUP {829114} | CITY,79.83,,2715.13,Groceries
2026-03-13,2026-03-13,PENDING - EFTPOS DAVID JONES | WEB,10.34,,2704.79,Entertainment
2026-03-14,2026-03-14,ANZ INTERNET BANKING BPAY MM ELECTRICAL {609658} | METRO,13.66,,2691.13,Transport
2026-03-14,2026-03-14,PENDING - POS AUTHORISATION COLES STREAKY BAY AU Card Used VISA CREDIT CARD 4567 | RETAIL,41.28,,2649.85,HomeImprovement
2026-03-15,2026-03-15,ANZ PAYROLL CREDIT | FROM PAYROLL,,3850.00,6499.85,Wages
2026-03-15,2026-03-15,ANZ MOBILE BANKING PAYMENT 298274 TO DAVID NGUYEN | DIRECT CREDIT,,650.00,7149.85,Other
2026-03-15,2026-03-15,VISA DEBIT DEPOSIT TERRY WHITE CHEMIST 35526744 | TO BONUS,250.00,,6899.85,Savings
2026-03-16,2026-03-16,EFTPOS DAVID JONES AU | DIRECT CREDIT,,650.00,7549.85,Other
2026-03-16,2026-03-16,ANZ INTERNET BANKING BPAY MM ELECTRICAL {356246} | OSKO / PAYID,75.51,,7474.34,Transfer
2026-03-16,2026-03-16,PENDING - MTS COLES ONLINE Inv 2055 CHEN | SUBURB,46.08,,7428.26,Groceries
2026-03-17,2026-03-17,VISA DEBIT DEPOSIT COLES EXPRESS 36153815 | DIRECT DEBIT,321.43,,7106.83,Health
2026-03-17,2026-03-17,PAYMENT TO TRANSFER TO SAVINGS 314402 | RETAIL,118.69,,6988.14,HomeImprovement
2026-03-18,2026-03-18,TRANSFER FROM AGL,9.01,,6979.13,Transport
2026-03-19,2026-03-19,PENDING - MTS THE ICONIC Inv 6593 SMITH | SUBSCRIPTION,197.77,,6781.36,Telecom
2026-03-19,2026-03-19,PENDING - PAYMENT FROM ROBERT WILSON inv 2233 MDE | LOCAL,16.32,,6765.04,Alcohol
2026-03-19,2026-03-19,VISA DEBIT DEPOSIT CALTEX 36197658 | METRO,33.98,,6731.06,Transport
2026-03-20,2026-03-20,ANZ MOBILE BANKING PAYMENT 199558 TO DAVID NGUYEN | CBD,27.59,,6703.47,Dining
2026-03-20,2026-03-20,PENDING - EFTPOS JB HI FI | WEB,51.90,,6651.57,OnlineShopping
2026-03-21,2026-03-21,TRANSFER FROM COUNCIL RATES | CBD,26.38,,6625.19,Dining
2026-03-22,2026-03-22,PENDING - POS AUTHORISATION DISNEY PLUS AU AU Card Used VISA CREDIT CARD 4567 | SUBURB,19.62,,6605.57,Groceries
2026-03-23,2026-03-23,ANZ MOBILE BANKING PAYMENT 769342 TO SARAH JOHNSON,16.90,,6588.67,Transport
2026-03-23,2026-03-23,EFTPOS WOOLWORTHS ONLINE AU | WEB,61.71,,6526.96,OnlineShopping
2026-03-27,2026-03-27,EFTPOS WOOLWORTHS ONLINE STREAKY BAY AU | OSKO / PAYID,48.59,,6478.37,Transfer
2026-03-27,2026-03-27,PENDING - POS AUTHORISATION OFFICEWORKS STREAKY BAY AU Card Used VISA DEBIT PURCHASE CARD 5076 | METRO,51.60,,6426.77,Transport
2026-03-28,2026-03-28,EFTPOS TERRY WHITE CHEMIST AU | HWY,78.80,,6347.97,Fuel
2026-03-29,2026-03-29,ANZ PAYROLL CREDIT | FROM PAYROLL,,3850.00,10197.97,Wages
2026-03-29,2026-03-29,PENDING - MTS AMAZON MARKETPLACE Inv 9698 WILSON | TO BONUS,250.00,,9947.97,Savings
2026-03-31,2026-03-31,PENDING - PAYMENT FROM JAMES SMITH inv 7457 MDE | HOME LENDER · REF LN-anz-9000,1680.00,,8267.97,Financial
2026-03-31,2026-03-31,VISA DEBIT DEPOSIT BIG W 35373666 | DIRECT DEBIT,321.43,,7946.54,Health
2026-03-31,2026-03-31,CLOSING BALANCE,,,7946.54,BalanceMarker
