date,effective_date,description,debit,credit,balance,category
2026-03-01,2026-03-01,OPENING BALANCE,,,3240.55,BalanceMarker
2026-03-01,2026-03-01,BANKWEST PAYROLL CREDIT | FROM PAYROLL,,3850.00,7090.55,Wages
2026-03-01,2026-03-01,DISNEY PLUS Preston AUS | TO BONUS,250.00,,6840.55,Savings
2026-03-01,2026-03-01,WOOLWORTHS Mernda AUS | HOME LENDER · REF LN-bankwest-9052,1680.00,,5160.55,Financial
2026-03-03,2026-03-03,ALDI ELTHAM AUS | DIRECT DEBIT,304.31,,4856.24,Health
2026-03-03,2026-03-03,10 | CITY,36.13,,4820.11,Groceries
2026-03-03,2026-03-03,CALTEX Melbourne AUS | CITY,127.36,,4692.75,Groceries
2026-03-04,2026-03-04,AUTHORISATION ONLY - EFTPOS PURCHASE AT ORIGIN ENERGY MELBOURNE 000AU | SUBSCRIPTION,40.27,,4652.48,Entertainment
2026-03-04,2026-03-04,MRS RHONDA IDA DO 19:52AM 22August Love Ra xx | CBD,7.95,,4644.53,Dining
2026-03-04,2026-03-04,MRS RHONDA IDA DO 20:58AM 30August Love Ra xx | RETAIL,42.38,,4602.15,HomeImprovement
2026-03-05,2026-03-05,KFC ELTHAM AUS | OSKO / PAYID,114.76,,4487.39,Transfer
2026-03-05,2026-03-05,CHEMIST WAREHOUSE Mernda AUS | RETAIL,47.16,,4440.23,HomeImprovement
2026-03-05,2026-03-05,MYER Mernda AUS | METRO,21.26,,4418.97,Transport
2026-03-06,2026-03-06,MRS RHONDA IDA DO 20:52AM 22July Love Ra xx | DIRECT DEBIT,497.70,,3921.27,Utilities
2026-03-06,2026-03-06,AUTHORISATION ONLY - EFTPOS PURCHASE AT DISNEY PLUS HOBART 000AU | SUBURB,35.55,,3885.72,Groceries
2026-03-06,2026-03-06,100,31.33,,3854.39,Retail
2026-03-07,2026-03-07,10 | WEB,55.01,,3799.38,OnlineShopping
2026-03-07,2026-03-07,MRS RHONDA IDA DO 15:36AM 29January Love Ra xx | CBD,14.42,,3784.96,Dining
2026-03-08,2026-03-08,BP DOREEN AUS | SUBSCRIPTION,116.13,,3668.83,Telecom
2026-03-08,2026-03-08,MRS RHONDA IDA DO 17:00AM 27November Love Ra xx | MALL,30.30,,3638.53,Dining
2026-03-09,2026-03-09,AUTHORISATION ONLY - EFTPOS PURCHASE AT BUNNINGS CANBERRA 000AU | MALL,180.10,,3458.43,Retail
2026-03-10,2026-03-10,AUTHORISATION ONLY - EFTPOS PURCHASE AT ALDI ADELAIDE 000AU | DIRECT DEBIT,343.65,,3114.78,Utilities
2026-03-10,2026-03-10,SHELL ELTHAM AUS | CITY,73.02,,3041.76,Groceries
2026-03-10,2026-03-10,MRS RHONDA IDA DO 10:35AM 29June Love Ra xx | METRO,51.52,,2990.24,Transport
2026-03-13,2026-03-13,TELSTRA Mernda AUS | DIRECT DEBIT,212.11,,2778.13,Insurance
2026-03-13,2026-03-13,100 | WEB,19.51,,2758.62,Entertainment
2026-03-14,2026-03-14,10 | CITY,111.43,,2647.19,Groceries
2026-03-14,2026-03-14,AGL Melbourne AUS | WEB,122.56,,2524.63,OnlineShopping
2026-03-15,2026-03-15,BANKWEST PAYROLL CREDIT | FROM PAYROLL,,3850.00,6374.63,Wages
2026-03-15,2026-03-15,AUTHORISATION ONLY - EFTPOS PURCHASE AT AMAZON MARKETPLACE HOBART 000AU | TO BONUS,250.00,,6124.63,Savings
2026-03-15,2026-03-15,AUTHORISATION ONLY - EFTPOS PURCHASE AT BUNNINGS ADELAIDE 000AU | SUBURB,15.72,,6108.91,Groceries
2026-03-16,2026-03-16,AUTHORISATION ONLY - EFTPOS PURCHASE AT ALDI BRISBANE 000AU | OSKO / PAYID,89.95,,6018.96,Transfer
2026-03-16,2026-03-16,AUTHORISATION ONLY - EFTPOS PURCHASE AT JB HI FI DARWIN 000AU | METRO,32.82,,5986.14,Transport
2026-03-16,2026-03-16,KMART ELTHAM AUS | MALL,16.34,,5969.80,Dining
