date,effective_date,description,debit,credit,balance,category
2026-03-01,2026-03-01,OPENING BALANCE,,,3240.55,BalanceMarker
2026-03-01,2026-03-01,ING PAYROLL CREDIT | FROM PAYROLL,,3850.00,7090.55,Wages
2026-03-01,2026-03-01,VISA-CHEMIST WAREHOUSE AU#1234(TXN430931) | TO BONUS,250.00,,6840.55,Savings
2026-03-01,2026-03-01,Ext Tfr - NET#1069802972 to 47603454 MICHAEL CHEN ING - ING Direct | HOME LENDER · REF LN-ing-9039,1680.00,,5160.55,Financial
2026-03-03,2026-03-03,EFT Declined #51 - BIG W | DIRECT DEBIT,304.31,,4856.24,Health
2026-03-03,2026-03-03,Ext Tfr - NET#1071924867 to 47536556 JAMES SMITH ING - ING Direct | LOCAL,52.48,,4803.76,Health
2026-03-04,2026-03-04,Debit Adjustment#945496-Int Tran Fee - ALDI | SUBSCRIPTION,40.27,,4763.49,Entertainment
2026-03-04,2026-03-04,VISA-BUNNINGS AU#1234(TXN173464) | CITY,93.52,,4669.97,Groceries
2026-03-04,2026-03-04,EFT Declined #51 - AGL | SUBURB,34.88,,4635.09,Groceries
2026-03-05,2026-03-05,VISA-ORIGIN ENERGY AU#1234(TXN657913) | OSKO / PAYID,119.12,,4515.97,Transfer
2026-03-05,2026-03-05,Transfer from SAV 00299053 Mobile# 568341512 | METRO,40.04,,4475.93,Transport
2026-03-05,2026-03-05,Transfer from SAV 00299053 Mobile# 568585925 | SUBURB,43.42,,4432.51,Groceries
2026-03-06,2026-03-06,VISA-AMPOL AU#1234(TXN457883) Apple Pay | DIRECT DEBIT,497.70,,3934.81,Utilities
2026-03-06,2026-03-06,VISA-APPLE.COM/BILL AU#1234(TXN441368),42.63,,3892.18,Retail
2026-03-06,2026-03-06,EFT Declined #51 - UNITED | WEB,187.06,,3705.12,OnlineShopping
2026-03-08,2026-03-08,Debit Adjustment#998946-Int Tran Fee - NETFLIX | SUBSCRIPTION,116.13,,3588.99,Telecom
2026-03-08,2026-03-08,Debit Adjustment#921554-Int Tran Fee - TERRY WHITE CHEMIST | WEB,71.31,,3517.68,OnlineShopping
2026-03-08,2026-03-08,VISA-APPLE.COM/BILL SYDNEY AU#1234(TXN231331) | RETAIL,28.32,,3489.36,HomeImprovement
2026-03-10,2026-03-10,Debit Adjustment#990307-Int Tran Fee - DISNEY PLUS | DIRECT DEBIT,343.65,,3145.71,Utilities
2026-03-10,2026-03-10,Ext Tfr - NET#1024055543 to 47123586 RACHEL TAYLOR ING - ING Direct | METRO,26.95,,3118.76,Transport
2026-03-13,2026-03-13,VISA-APPLE.COM/BILL SYDNEY AU#1234(TXN581609) | DIRECT DEBIT,212.11,,2906.65,Insurance
2026-03-14,2026-03-14,VISA-TERRY WHITE CHEMIST AU#1234(TXN327753) | WEB,131.43,,2775.22,OnlineShopping
2026-03-14,2026-03-14,VISA-BIG W AU#1234(TXN378868) | LOCAL,22.52,,2752.70,Health
2026-03-15,2026-03-15,ING PAYROLL CREDIT | FROM PAYROLL,,3850.00,6602.70,Wages
2026-03-15,2026-03-15,Ext Tfr - NET#1048439858 to 47238800 SARAH JOHNSON ING - ING Direct | TO BONUS,250.00,,6352.70,Savings
2026-03-15,2026-03-15,VISA-AGL AU#1234(TXN502986) | RETAIL,22.76,,6329.94,HomeImprovement
2026-03-15,2026-03-15,VISA-APPLE.COM/BILL SYDNEY AU#1234(TXN684645) | CBD,6.99,,6322.95,Dining
2026-03-16,2026-03-16,VISA-SHELL AU#1234(TXN839243) Apple Pay | OSKO / PAYID,99.89,,6223.06,Transfer
2026-03-17,2026-03-17,Transfer from SAV 00299053 Mobile# 560627953 | DIRECT DEBIT,304.31,,5918.75,Health
2026-03-18,2026-03-18,VISA-CHEMIST WAREHOUSE AU#1234(TXN171165) | MALL,223.27,,5695.48,Retail
2026-03-18,2026-03-18,Ext Tfr - NET#1088890984 to 47838421 RACHEL TAYLOR ING - ING Direct | METRO,54.92,,5640.56,Transport
2026-03-19,2026-03-19,VISA-ALDI AU#1234(TXN765614) | SUBSCRIPTION,187.23,,5453.33,Telecom
2026-03-19,2026-03-19,VISA-ALDI AU#1234(TXN653221) Apple Pay | LOCAL,23.28,,5430.05,Health
2026-03-19,2026-03-19,VISA-APPLE.COM/BILL SYDNEY AU#1234(TXN588620) | CITY,93.11,,5336.94,Groceries
2026-03-20,2026-03-20,Debit Adjustment#962244-Int Tran Fee - WESTFIELD | CITY,73.60,,5263.34,Groceries
