date,effective_date,description,debit,credit,balance,category
2026-03-01,2026-03-01,OPENING BALANCE,,,3240.55,BalanceMarker
2026-03-01,2026-03-01,OTHER PAYROLL CREDIT | FROM PAYROLL,,3850.00,7090.55,Wages
2026-03-01,2026-03-01,PAY/SALARY FROM J.J. RICHARDS &  64673 | TO BONUS,250.00,,6840.55,Savings
2026-03-01,2026-03-01,"PAYMENT FROM TERRY BRADFORD,TERRY BRADFORD,Scott Sunderland,,,Wyndham 00201067381 | HOME LENDER · REF LN-other-9104",1680.00,,5160.55,Financial
2026-03-01,2026-03-01,REVERSAL OF ACCOUNT SERVICING FEE MINIMUM $2000 IN DEPOSITS RECEIVED | SUBURB,55.75,,5104.80,Groceries
2026-03-02,2026-03-02,VISA DEBIT PURCHASE CARD 4532 1234 5678 9010 OFFICEWORKS | SUBURB,61.75,,5043.05,Groceries
2026-03-02,2026-03-02,EFTPOS PILOT\ | CITY,87.33,,4955.72,Groceries
2026-03-03,2026-03-03,VISA DEBIT PURCHASE CARD 4532 1234 5678 9010 MCDONALDS | DIRECT DEBIT,304.31,,4651.41,Health
2026-03-04,2026-03-04,PAY/SALARY FROM J.J. RICHARDS &  37870 | SUBSCRIPTION,40.27,,4611.14,Entertainment
2026-03-04,2026-03-04,EFTPOS MEDICARE BENEFIT | CITY,21.43,,4589.71,Groceries
2026-03-05,2026-03-05,REVERSAL OF ACCOUNT SERVICING FEE MINIMUM $2000 IN DEPOSITS RECEIVED | OSKO / PAYID,98.77,,4490.94,Transfer
2026-03-05,2026-03-05,TRANSFER FROM MCARE BENEFITS   650791865 MCARE | LOCAL,9.61,,4481.33,Health
2026-03-05,2026-03-05,ANZ M-BANKING FUNDS TFER TRANSFER 483092  FROM       608384824 | METRO,44.38,,4436.95,Transport
2026-03-06,2026-03-06,ANZ M-BANKING FUNDS TFER TRANSFER 107253  FROM       881896033 | DIRECT DEBIT,497.70,,3939.25,Utilities
2026-03-06,2026-03-06,ANZ M-BANKING FUNDS TFER TRANSFER 653013  FROM       217962952 | RETAIL,79.66,,3859.59,HomeImprovement
2026-03-08,2026-03-08,"ANZ MOBILE BANKING PAYMENT 111390 TO SUNDERLAND C,MS KRISTY SUNDERLAND,SUNDERLAND D,,,LOAN REPAYMENT | SUBSCRIPTION",116.13,,3743.46,Telecom
2026-03-10,2026-03-10,REVERSAL OF ACCOUNT SERVICING FEE MINIMUM $2000 IN DEPOSITS RECEIVED | DIRECT DEBIT,343.65,,3399.81,Utilities
2026-03-12,2026-03-12,TRANSFER FROM MCARE BENEFITS   350151229 MCARE | WEB,94.38,,3305.43,OnlineShopping
2026-03-12,2026-03-12,PAYMENT TO HUMM BNPL        HUMM | CITY,90.21,,3215.22,Groceries
2026-03-13,2026-03-13,ANZ M-BANKING FUNDS TFER TRANSFER 108312  FROM       200943429 | DIRECT DEBIT,212.11,,3003.11,Insurance
2026-03-14,2026-03-14,ACCOUNT SERVICING FEE | RETAIL,136.05,,2867.06,HomeImprovement
2026-03-15,2026-03-15,OTHER PAYROLL CREDIT | FROM PAYROLL,,3850.00,6717.06,Wages
2026-03-15,2026-03-15,"PAYMENT FROM TERRY BRADFORD,TERRY BRADFORD,Scott Sunderland,,,Wyndham 00201067381 | TO BONUS",250.00,,6467.06,Savings
2026-03-15,2026-03-15,REVERSAL OF ACCOUNT SERVICING FEE MINIMUM $2000 IN DEPOSITS RECEIVED | WEB,117.86,,6349.20,OnlineShopping
2026-03-15,2026-03-15,VISA DEBIT PURCHASE CARD 4532 1234 5678 9010 WOOLWORTHS | WEB,125.51,,6223.69,OnlineShopping
2026-03-16,2026-03-16,"ANZ MOBILE BANKING PAYMENT 637545 TO SUNDERLAND D,MS KRISTY SUNDERLAND,SUNDERLAND D,,,RENT PAYMENT | OSKO / PAYID",35.29,,6188.40,Transfer
2026-03-17,2026-03-17,ANZ M-BANKING FUNDS TFER TRANSFER 486236  FROM       315573412 | DIRECT DEBIT,304.31,,5884.09,Health
2026-03-17,2026-03-17,REVERSAL OF ACCOUNT SERVICING FEE MINIMUM $2000 IN DEPOSITS RECEIVED | SUBURB,44.93,,5839.16,Groceries
2026-03-19,2026-03-19,PAYMENT TO HUMM BNPL        HUMM | SUBSCRIPTION,187.23,,5651.93,Telecom
2026-03-21,2026-03-21,TRANSFER FROM MCARE BENEFITS   174377026 MCARE | SUBURB,24.29,,5627.64,Groceries
2026-03-21,2026-03-21,TRANSFER FROM MCARE BENEFITS   505802930 MCARE | METRO,23.31,,5604.33,Transport
2026-03-22,2026-03-22,"PAYMENT FROM TERRY BRADFORD,TERRY BRADFORD,Scott Sunderland,,,Wyndham 00201067381 | CITY",89.95,,5514.38,Groceries
2026-03-23,2026-03-23,ANZ M-BANKING FUNDS TFER TRANSFER 871455  FROM       625652398 | CBD,19.19,,5495.19,Dining
2026-03-23,2026-03-23,"PAYMENT FROM TERRY BRADFORD,TERRY BRADFORD,Scott Sunderland,,,Wyndham 00201067381 | CBD",7.62,,5487.57,Dining
