date,effective_date,description,debit,credit,balance,category
2026-03-01,2026-03-01,OPENING BALANCE,,,3240.55,BalanceMarker
2026-03-01,2026-03-01,SUNCORP PAYROLL CREDIT | FROM PAYROLL,,3850.00,7090.55,Wages
2026-03-01,2026-03-01,DIRECT CREDIT DIRECT CREDIT442094TXN417503 726321*HL | TO BONUS,250.00,,6840.55,Savings
2026-03-01,2026-03-01,VISA PURCHASE ORIGIN ENERGY MELBOURNE 13/04 AU AUD | HOME LENDER · REF LN-suncorp-9065,1680.00,,5160.55,Financial
2026-03-02,2026-03-02,EFTPOS WDL MCDONALDS DARWIN AU | CITY,120.59,,5039.96,Groceries
2026-03-03,2026-03-03,DIRECT CREDIT DIRECT CREDIT527769TXN579169 396525*HL | DIRECT DEBIT,304.31,,4735.65,Health
2026-03-04,2026-03-04,EFTPOS WDL JB HI FI TOWNSVILLE AU | SUBSCRIPTION,40.27,,4695.38,Entertainment
2026-03-04,2026-03-04,DIRECT DEBIT Suncorp Metway DIRECT DEBIT546205 | HWY,39.35,,4656.03,Fuel
2026-03-04,2026-03-04,VISA PURCHASE ORIGIN ENERGY 525139 NV 21.000 USD,14.95,,4641.08,Retail
2026-03-05,2026-03-05,EFTPOS WDL WOOLWORTHS MELBOURNE AU | OSKO / PAYID,108.20,,4532.88,Transfer
2026-03-05,2026-03-05,DIRECT CREDIT QLD DEPARTMENT O SALARY 7812878 | CITY,80.70,,4452.18,Groceries
2026-03-05,2026-03-05,VISA PURCHASE OPTUS 706201 NV 43.000 USD | METRO,49.65,,4402.53,Transport
2026-03-06,2026-03-06,DIRECT DEBIT Suncorp Metway DIRECT DEBIT594505 | DIRECT DEBIT,497.70,,3904.83,Utilities
2026-03-06,2026-03-06,VISA PURCHASE TELSTRA TOWNSVILLE 01/07 AU AUD | MALL,239.25,,3665.58,Retail
2026-03-06,2026-03-06,EFTPOS WDL AMAZON MARKETPLACE MELBOURNE AU,14.55,,3651.03,Transport
2026-03-07,2026-03-07,DIRECT DEBIT Suncorp Metway DIRECT DEBIT574288 | MALL,241.95,,3409.08,Retail
2026-03-08,2026-03-08,DIRECT CREDIT DIRECT CREDIT945530TXN530311 357432*HL | SUBSCRIPTION,116.13,,3292.95,Telecom
2026-03-08,2026-03-08,DIRECT CREDIT DIRECT CREDIT341949TXN750798 600531*HL | CBD,23.38,,3269.57,Dining
2026-03-09,2026-03-09,DIRECT CREDIT DIRECT CREDIT996226TXN770187 280484*HL | WEB,184.82,,3084.75,OnlineShopping
2026-03-10,2026-03-10,VISA PURCHASE BIG W GOLD COAST 12/04 AU AUD | DIRECT DEBIT,343.65,,2741.10,Utilities
2026-03-10,2026-03-10,DIRECT CREDIT DIRECT CREDIT675274TXN470019 917959*HL | WEB,195.43,,2545.67,OnlineShopping
2026-03-10,2026-03-10,DIRECT DEBIT Suncorp Metway DIRECT DEBIT350354 | SUBURB,37.31,,2508.36,Groceries
2026-03-12,2026-03-12,DIRECT CREDIT QLD DEPARTMENT O SALARY 7306022 | MALL,109.95,,2398.41,Retail
2026-03-13,2026-03-13,VISA PURCHASE TELSTRA MELBOURNE 30/01 AU AUD | DIRECT DEBIT,212.11,,2186.30,Insurance
2026-03-13,2026-03-13,DIRECT DEBIT Suncorp Metway DIRECT DEBIT528862 | MALL,25.88,,2160.42,Dining
2026-03-14,2026-03-14,DIRECT DEBIT Suncorp Metway DIRECT DEBIT247730 | MALL,22.54,,2137.88,Dining
2026-03-14,2026-03-14,VISA PURCHASE KMART ROCKHAMPTON 25/08 AU AUD | SUBURB,21.21,,2116.67,Groceries
2026-03-15,2026-03-15,SUNCORP PAYROLL CREDIT | FROM PAYROLL,,3850.00,5966.67,Wages
2026-03-15,2026-03-15,DIRECT DEBIT Suncorp Metway DIRECT DEBIT543114 | TO BONUS,250.00,,5716.67,Savings
2026-03-15,2026-03-15,EFTPOS WDL REBEL SPORT MELBOURNE AU | METRO,38.00,,5678.67,Transport
2026-03-16,2026-03-16,VISA PURCHASE JB HI FI 174376 NV 51.000 USD | OSKO / PAYID,56.27,,5622.40,Transfer
2026-03-16,2026-03-16,DIRECT DEBIT Suncorp Metway DIRECT DEBIT192488 | SUBURB,33.88,,5588.52,Groceries
2026-03-16,2026-03-16,VISA PURCHASE TELSTRA 725080 NV 20.000 USD,5.91,,5582.61,Transport
2026-03-17,2026-03-17,DIRECT CREDIT DIRECT CREDIT220293TXN532846 911975*HL | DIRECT DEBIT,304.31,,5278.30,Health
2026-03-18,2026-03-18,VISA PURCHASE REBEL SPORT ROCKHAMPTON 29/12 AU AUD | CBD,26.33,,5251.97,Dining
2026-03-19,2026-03-19,DIRECT CREDIT DIRECT CREDIT894576TXN686185 524318*HL | SUBSCRIPTION,187.23,,5064.74,Telecom
2026-03-19,2026-03-19,DIRECT DEBIT Suncorp Metway DIRECT DEBIT919894 | MALL,104.90,,4959.84,Retail
2026-03-20,2026-03-20,DIRECT DEBIT Suncorp Metway DIRECT DEBIT169439 | WEB,196.94,,4762.90,OnlineShopping
2026-03-20,2026-03-20,EFTPOS WDL ORIGIN ENERGY BRISBANE AU | RETAIL,77.28,,4685.62,HomeImprovement
2026-03-23,2026-03-23,VISA PURCHASE ORIGIN ENERGY 207692 NV 84.000 USD | CBD,13.31,,4672.31,Dining
2026-03-24,2026-03-24,VISA PURCHASE CHEMIST WAREHOUSE DARWIN 14/12 AU AUD | METRO,49.92,,4622.39,Transport
2026-03-24,2026-03-24,DIRECT DEBIT Suncorp Metway DIRECT DEBIT974158 | CBD,17.59,,4604.80,Dining
2026-03-25,2026-03-25,DIRECT DEBIT Suncorp Metway DIRECT DEBIT939122 | CITY,27.16,,4577.64,Groceries
2026-03-25,2026-03-25,DIRECT CREDIT QLD DEPARTMENT O SALARY 3225488 | SUBURB,55.91,,4521.73,Groceries
2026-03-27,2026-03-27,VISA PURCHASE TARGET 290002 NV 87.000 USD | OSKO / PAYID,53.39,,4468.34,Transfer
2026-03-27,2026-03-27,EFTPOS WDL BUNNINGS SYDNEY AU | METRO,47.82,,4420.52,Transport
2026-03-28,2026-03-28,EFTPOS WDL PRICELINE PHARMACY BRISBANE AU | CBD,15.32,,4405.20,Dining
2026-03-29,2026-03-29,SUNCORP PAYROLL CREDIT | FROM PAYROLL,,3850.00,8255.20,Wages
2026-03-29,2026-03-29,VISA PURCHASE TARGET 403961 NV 16.000 USD | TO BONUS,250.00,,8005.20,Savings
2026-03-29,2026-03-29,DIRECT CREDIT DIRECT CREDIT433902TXN682412 910478*HL | CBD,14.94,,7990.26,Dining
2026-03-31,2026-03-31,VISA PURCHASE AMPOL TOWNSVILLE 17/07 AU AUD | HOME LENDER · REF LN-suncorp-9065,1680.00,,6310.26,Financial
